model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.7704918032786885,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.8625541125541125,,
Random Forest,0.7704918032786885,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.8333333333333334,0.8861693861693862,0.022660265547864947
XGBoost,0.7540983606557377,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.8528138528138528,0.8914270914270915,0.028494778394277446
