model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.9545454545454546,0.9550687398126626,0.9545454545454546,0.9539871079787212,0.9964266053567592,,
Random Forest,0.9808612440191388,0.981454504335232,0.9808612440191388,0.9807689510936992,0.9998203538542745,0.9997752505671846,0.00013810375535847446
XGBoost,0.9808612440191388,0.9814985489057966,0.9808612440191388,0.9807480443807217,0.999728682312505,0.9991432082773128,0.0007060324886950574
