model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.7077922077922078,0.5957446808510638,0.5185185185185185,0.5544554455445545,0.827962962962963,,
Random Forest,0.7662337662337663,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8364814814814815,0.8314424141749723,0.028845724537008562
XGBoost,0.7532467532467533,0.6538461538461539,0.6296296296296297,0.6415094339622641,0.8212962962962963,0.8179554263565892,0.027513913366882036
